County,not_comp_high_school,comp_high_school,comp_some_clg,comp_clg
Alameda,11.6,17.6,23.5,47.4
Alpine,8.8,28.1,28.6,34.5
Amador,10,27.5,43.3,19.3
Butte,10.8,22.5,39.5,27.2
Calaveras,9.8,28,43.9,18.3
Colusa,28.7,26.2,30,15
Contra Costa,10.5,17.3,29.9,42.4
Del Norte,19.9,31,34.2,14.8
El Dorado,6.6,21.3,37.9,34.3
Fresno,24,22.7,32.1,21.2
Glenn,25.2,27.2,33.4,14.2
Humboldt,9.5,22.2,37.9,30.4
Imperial,30.3,24.3,30.2,15.2
Inyo,11.4,28.6,32.8,27.2
Kern,25.9,27.8,29.9,16.4
Kings,26.6,25.3,33.4,14.7
Lake,14.2,30.5,39.7,15.5
Lassen,16.8,34.5,35.7,12.9
Los Angeles,20.9,20.6,26,32.5
Madera,28.1,24.9,32.5,14.6
Marin,6.7,10.5,23.3,59.5
Mariposa,9.4,24.4,41.7,24.6
Mendocino,13.5,25,37.1,24.4
Merced,30.9,25.3,30.1,13.8
Modoc,15.2,33,36.6,15.2
Mono,11.4,24.2,35.5,28.8
Monterey,28.5,20.3,26.5,24.7
Napa,14.5,17.8,32,35.7
Nevada,5.6,18.4,38.8,37.2
Orange,14.5,17.2,27.7,40.6
Placer,5.5,18,36.8,39.7
Plumas,4.9,26.1,45.3,23.7
Riverside,18,26.9,32.9,22.3
Sacramento,12.3,22.4,34.5,30.9
San Benito,19.5,24.8,36,19.7
San Bernardino,20,26.3,32.7,21
San Diego,12.6,18.2,30.4,38.8
San Francisco,11.5,12.1,18.4,58.1
San Joaquin,20.7,28.3,32.2,18.8
San Luis Obispo,8.7,19.9,36,35.4
San Mateo,10.4,14.9,23.8,51
Santa Barbara,19.1,17.8,29,34.2
Santa Clara,11.6,14.1,21.9,52.4
Santa Cruz,13.7,15.5,30,40.8
Shasta,8.9,25.4,43.5,22.2
Sierra,7.6,31.7,42.8,17.9
Siskiyou,9.8,25.5,41.6,23.2
Solano,11.6,23.8,37.7,26.9
Sonoma,11.2,18.7,34.5,35.5
Stanislaus,21.1,29.3,32.5,17.1
Sutter,21.8,23.3,36.6,18.2
Tehama,15.5,30.1,38.7,15.7
Trinity,7.6,34.8,38,19.5
Tulare,29.2,25.5,30.7,14.6
Tuolumne,9.3,28.3,41.9,20.5
Ventura,15,19.2,32.1,33.8
Yolo,13.5,18.1,27,41.4
Yuba,17.7,23.6,41.6,17.1
